category,name,sku,unit_label,case_label,price_single,price_case,cost_price_single,cost_price_case,shelf_life_months,can_split_sale,minimum_order_qty,is_active,stock_quantity,units_per_case,image
Tropical Fruit Syrup 果汁,Blueberry Syrup 藍莓汁,S011603,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S011603.png
Tropical Fruit Syrup 果汁,Passion Fruit Rose Syrup Syrup Seedless 玫瑰汁 百香果汁(無籽),S011703,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S011703.png
Tropical Fruit Syrup 果汁,S011704,S011704,5.5LBS/BOTTLE,4 BOTTLES/CASE,16.0,55.0,0,0,24,1,1,1,0,4.0,products/S011704.png
Tropical Fruit Syrup 果汁,S011803,S011803,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S011803.png
Sugar Syrup,S011903,S011903,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S011903.png
Tropical Fruit Syrup 果汁,S012003,S012003,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S012003.png
Tropical Fruit Syrup 果汁,S012202,S012202,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S012202.png
Tropical Fruit Syrup 果汁,S012302,S012302,5.5LBS/BOTTLE,4 BOTTLES/CASE,16.0,55.0,0,0,24,1,1,1,0,4.0,products/S012302.png
Tropical Fruit Syrup 果汁,S030103,S030103,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S030103.png
Tropical Fruit Syrup 果汁,Lychee Longan Syrup Honey Syrup 荔枝汁 龍眼蜂蜜,S030203,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S030203.png
Tropical Fruit Syrup 果汁,Mango Taro Syrup 宇香蜜 芒果汁,S030303,5.5LBS/BOTTLE,4 BOTTLES/CASE,18.0,65.0,0,0,24,1,1,1,0,4.0,products/S030303.png
Sugar Syrup,Ginger Brown 黑糖薑母,S030403,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S030403.png
Sugar Syrup 糖漿,S030502,S030502,,,55.0,55.0,0,0,12,1,1,1,0,1.0,products/S030502.png
Sugar Syrup 糖漿,Fructose 果糖 50LBS,S030702,,,50.0,50.0,0,0,12,1,1,1,0,1.0,products/S030702.png
Tropical Fruit Syrup 果汁,S030803,S030803,5.5LBS/BOTTLE,4 BOTTLES/CASE,16.0,55.0,0,0,24,1,1,1,0,4.0,products/S030803.png
Tropical Fruit Syrup 果汁,S030903,S030903,5.5LBS/BOTTLE,4 BOTTLES/CASE,16.0,55.0,0,0,24,1,1,1,0,4.0,products/S030903.png
Tropical Fruit Syrup 果汁,S090103,S090103,5.5LBS/BOTTLE,4 BOTTLES/CASE,15.0,50.0,0,0,24,1,1,1,0,4.0,products/S090103.png
默认分类,T010103,T010103,500G/BAG,10 BAGS/CASE,10.0,80.0,0,0,24,1,1,1,0,10.0,products/T010103.png
默认分类,T010203,T010203,500G/BAG,10 BAGS/CASE,10.0,80.0,0,0,24,1,1,1,0,10.0,products/T010203.png
默认分类,Four Seasons Spring Phoenix Oolong Tea Leaves Oolong Tea Leaves 四季春烏龍茶葉 鸭屎香烏龍茶葉,T010503,300G/BAG,10 BAGS/CASE,12.0,105.0,0,0,24,1,1,1,0,10.0,products/T010503.png
默认分类,T010603,T010603,300G/BAG,10 BAGS/CASE,12.0,95.0,0,0,24,1,1,1,0,10.0,products/T010603.png
默认分类,T010703,T010703,500G/BAG,10 BAGS/CASE,10.0,85.0,0,0,24,1,1,1,0,10.0,products/T010703.png
默认分类,T010803,T010803,300G/BAG,10 BAGS/CASE,8.0,60.0,0,0,24,1,1,1,0,10.0,products/T010803.png
默认分类,T010903,T010903,500G/BAG,10 BAGS/CASE,10.0,85.0,0,0,24,1,1,1,0,10.0,products/T010903.png
默认分类,T011003,T011003,300G/BAG,10 BAGS/CASE,8.0,60.0,0,0,24,1,1,1,0,10.0,products/T011003.png
Filtered Tea Bag,T020103,T020103,500G/BAG,10 BAGS/CASE,10.0,90.0,0,0,24,1,1,1,0,10.0,products/T020103.png
Filtered Tea Bag,T020203,T020203,500G/BAG,10 BAGS/CASE,12.0,105.0,0,0,24,1,1,1,0,10.0,products/T020203.png
Espresso Tea Bag 萃茶包,Earl Grey Espresso Black Tea Bag 伯爵紅茶萃茶包,T030103,8G/50 TEA BAGS,500 TEA BAGS/CASE,15.0,130.0,0,0,24,1,1,1,0,500.0,products/T030103.png
默认分类,T030203,T030203,500G/BAG,10 BAGS/CASE,11.0,95.0,0,0,24,1,1,1,0,10.0,products/T030203.png
Espresso Tea Bag 萃茶包,T030403,T030403,8G/50 TEA BAGS,500 TEA BAGS/CASE,15.0,130.0,0,0,24,1,1,1,0,500.0,products/T030403.png
